incentive_id,user_id,eco_points,rank,last_updated
1,1,829,1,2026-02-10 19:49:57.908742
2,2,606,2,2026-02-10 19:49:57.908742
3,3,791,3,2026-02-10 19:49:57.908742
4,4,447,4,2026-02-10 19:49:57.908742
5,5,794,5,2026-02-10 19:49:57.908742
6,6,710,6,2026-02-10 19:49:57.908742
7,7,849,7,2026-02-10 19:49:57.908742
8,8,945,8,2026-02-10 19:49:57.908742
9,9,899,9,2026-02-10 19:49:57.908742
10,10,998,10,2026-02-10 19:49:57.908742
11,11,705,11,2026-02-10 19:49:57.908742
12,12,154,12,2026-02-10 19:49:57.908742
13,13,738,13,2026-02-10 19:49:57.908742
14,14,354,14,2026-02-10 19:49:57.908742
15,15,977,15,2026-02-10 19:49:57.908742
16,16,608,16,2026-02-10 19:49:57.908742
17,17,262,17,2026-02-10 19:49:57.908742
18,18,464,18,2026-02-10 19:49:57.908742
19,19,194,19,2026-02-10 19:49:57.908742
20,20,763,20,2026-02-10 19:49:57.908742
21,21,156,21,2026-02-10 19:49:57.908742
22,22,126,22,2026-02-10 19:49:57.908742
23,23,830,23,2026-02-10 19:49:57.908742
24,24,500,24,2026-02-10 19:49:57.908742
25,25,153,25,2026-02-10 19:49:57.908742
26,26,228,26,2026-02-10 19:49:57.908742
27,27,320,27,2026-02-10 19:49:57.908742
28,28,744,28,2026-02-10 19:49:57.908742
29,29,610,29,2026-02-10 19:49:57.908742
30,30,300,30,2026-02-10 19:49:57.908742
31,31,859,31,2026-02-10 19:49:57.908742
32,32,895,32,2026-02-10 19:49:57.908742
33,33,487,33,2026-02-10 19:49:57.908742
34,34,160,34,2026-02-10 19:49:57.908742
35,35,178,35,2026-02-10 19:49:57.908742
36,36,824,36,2026-02-10 19:49:57.908742
37,37,383,37,2026-02-10 19:49:57.908742
38,38,903,38,2026-02-10 19:49:57.908742
39,39,878,39,2026-02-10 19:49:57.908742
40,40,714,40,2026-02-10 19:49:57.908742
41,41,118,41,2026-02-10 19:49:57.908742
42,42,973,42,2026-02-10 19:49:57.908742
43,43,366,43,2026-02-10 19:49:57.908742
44,44,997,44,2026-02-10 19:49:57.908742
45,45,786,45,2026-02-10 19:49:57.908742
46,46,743,46,2026-02-10 19:49:57.908742
47,47,592,47,2026-02-10 19:49:57.908742
48,48,490,48,2026-02-10 19:49:57.908742
49,49,482,49,2026-02-10 19:49:57.908742
50,50,748,50,2026-02-10 19:49:57.908742
51,51,508,51,2026-02-10 19:49:57.908742
52,52,162,52,2026-02-10 19:49:57.908742
53,53,403,53,2026-02-10 19:49:57.908742
54,54,202,54,2026-02-10 19:49:57.908742
55,55,608,55,2026-02-10 19:49:57.908742
56,56,318,56,2026-02-10 19:49:57.908742
57,57,384,57,2026-02-10 19:49:57.908742
58,58,306,58,2026-02-10 19:49:57.908742
59,59,163,59,2026-02-10 19:49:57.908742
60,60,105,60,2026-02-10 19:49:57.908742
61,61,726,61,2026-02-10 19:49:57.908742
62,62,740,62,2026-02-10 19:49:57.908742
63,63,212,63,2026-02-10 19:49:57.908742
64,64,953,64,2026-02-10 19:49:57.908742
65,65,649,65,2026-02-10 19:49:57.908742
66,66,306,66,2026-02-10 19:49:57.908742
67,67,825,67,2026-02-10 19:49:57.908742
68,68,881,68,2026-02-10 19:49:57.908742
69,69,536,69,2026-02-10 19:49:57.908742
70,70,750,70,2026-02-10 19:49:57.908742
71,71,550,71,2026-02-10 19:49:57.908742
72,72,604,72,2026-02-10 19:49:57.908742
73,73,900,73,2026-02-10 19:49:57.908742
74,74,690,74,2026-02-10 19:49:57.908742
75,75,714,75,2026-02-10 19:49:57.908742
76,76,630,76,2026-02-10 19:49:57.908742
77,77,472,77,2026-02-10 19:49:57.908742
78,78,444,78,2026-02-10 19:49:57.908742
79,79,356,79,2026-02-10 19:49:57.908742
80,80,661,80,2026-02-10 19:49:57.908742
81,81,558,81,2026-02-10 19:49:57.908742
82,82,319,82,2026-02-10 19:49:57.908742
83,83,173,83,2026-02-10 19:49:57.908742
84,84,261,84,2026-02-10 19:49:57.908742
85,85,522,85,2026-02-10 19:49:57.908742
86,86,900,86,2026-02-10 19:49:57.908742
87,87,135,87,2026-02-10 19:49:57.908742
88,88,977,88,2026-02-10 19:49:57.908742
89,89,879,89,2026-02-10 19:49:57.908742
90,90,418,90,2026-02-10 19:49:57.908742
91,91,164,91,2026-02-10 19:49:57.908742
92,92,440,92,2026-02-10 19:49:57.908742
93,93,885,93,2026-02-10 19:49:57.908742
94,94,744,94,2026-02-10 19:49:57.908742
95,95,824,95,2026-02-10 19:49:57.908742
96,96,232,96,2026-02-10 19:49:57.908742
97,97,598,97,2026-02-10 19:49:57.908742
98,98,958,98,2026-02-10 19:49:57.908742
99,99,179,99,2026-02-10 19:49:57.908742
100,100,601,100,2026-02-10 19:49:57.908742
101,101,410,101,2026-02-10 19:49:57.908742
102,102,635,102,2026-02-10 19:49:57.908742
103,103,789,103,2026-02-10 19:49:57.908742
104,104,712,104,2026-02-10 19:49:57.908742
105,105,174,105,2026-02-10 19:49:57.908742
106,106,473,106,2026-02-10 19:49:57.908742
107,107,466,107,2026-02-10 19:49:57.908742
108,108,974,108,2026-02-10 19:49:57.908742
109,109,986,109,2026-02-10 19:49:57.908742
110,110,855,110,2026-02-10 19:49:57.908742
111,111,469,111,2026-02-10 19:49:57.908742
112,112,908,112,2026-02-10 19:49:57.908742
113,113,976,113,2026-02-10 19:49:57.908742
114,114,662,114,2026-02-10 19:49:57.908742
115,115,429,115,2026-02-10 19:49:57.908742
116,116,159,116,2026-02-10 19:49:57.908742
117,117,485,117,2026-02-10 19:49:57.908742
118,118,948,118,2026-02-10 19:49:57.908742
119,119,647,119,2026-02-10 19:49:57.908742
120,120,974,120,2026-02-10 19:49:57.908742
121,121,931,121,2026-02-10 19:49:57.908742
122,122,104,122,2026-02-10 19:49:57.908742
123,123,693,123,2026-02-10 19:49:57.908742
124,124,178,124,2026-02-10 19:49:57.908742
125,125,772,125,2026-02-10 19:49:57.908742
126,126,154,126,2026-02-10 19:49:57.908742
127,127,733,127,2026-02-10 19:49:57.908742
128,128,731,128,2026-02-10 19:49:57.908742
129,129,383,129,2026-02-10 19:49:57.908742
130,130,369,130,2026-02-10 19:49:57.908742
131,131,308,131,2026-02-10 19:49:57.908742
132,132,337,132,2026-02-10 19:49:57.908742
133,133,464,133,2026-02-10 19:49:57.908742
134,134,696,134,2026-02-10 19:49:57.908742
135,135,947,135,2026-02-10 19:49:57.908742
136,136,447,136,2026-02-10 19:49:57.908742
137,137,783,137,2026-02-10 19:49:57.908742
138,138,202,138,2026-02-10 19:49:57.908742
139,139,510,139,2026-02-10 19:49:57.908742
140,140,748,140,2026-02-10 19:49:57.908742
141,141,189,141,2026-02-10 19:49:57.908742
142,142,172,142,2026-02-10 19:49:57.908742
143,143,299,143,2026-02-10 19:49:57.908742
144,144,760,144,2026-02-10 19:49:57.908742
145,145,908,145,2026-02-10 19:49:57.908742
146,146,154,146,2026-02-10 19:49:57.908742
147,147,714,147,2026-02-10 19:49:57.908742
148,148,174,148,2026-02-10 19:49:57.908742
149,149,759,149,2026-02-10 19:49:57.908742
150,150,779,150,2026-02-10 19:49:57.908742
151,151,830,151,2026-02-10 19:49:57.908742
152,152,272,152,2026-02-10 19:49:57.908742
153,153,221,153,2026-02-10 19:49:57.908742
154,154,862,154,2026-02-10 19:49:57.908742
155,155,158,155,2026-02-10 19:49:57.908742
156,156,403,156,2026-02-10 19:49:57.908742
157,157,813,157,2026-02-10 19:49:57.908742
158,158,672,158,2026-02-10 19:49:57.908742
159,159,654,159,2026-02-10 19:49:57.908742
160,160,155,160,2026-02-10 19:49:57.908742
161,161,133,161,2026-02-10 19:49:57.908742
162,162,735,162,2026-02-10 19:49:57.908742
163,163,250,163,2026-02-10 19:49:57.908742
164,164,544,164,2026-02-10 19:49:57.908742
165,165,760,165,2026-02-10 19:49:57.908742
166,166,818,166,2026-02-10 19:49:57.908742
167,167,777,167,2026-02-10 19:49:57.908742
168,168,245,168,2026-02-10 19:49:57.908742
169,169,220,169,2026-02-10 19:49:57.908742
170,170,474,170,2026-02-10 19:49:57.908742
171,171,336,171,2026-02-10 19:49:57.908742
172,172,206,172,2026-02-10 19:49:57.908742
173,173,436,173,2026-02-10 19:49:57.908742
174,174,898,174,2026-02-10 19:49:57.908742
175,175,771,175,2026-02-10 19:49:57.908742
176,176,683,176,2026-02-10 19:49:57.908742
177,177,236,177,2026-02-10 19:49:57.908742
178,178,300,178,2026-02-10 19:49:57.908742
179,179,238,179,2026-02-10 19:49:57.908742
180,180,331,180,2026-02-10 19:49:57.908742
181,181,176,181,2026-02-10 19:49:57.908742
182,182,965,182,2026-02-10 19:49:57.908742
183,183,545,183,2026-02-10 19:49:57.908742
184,184,319,184,2026-02-10 19:49:57.908742
185,185,322,185,2026-02-10 19:49:57.908742
186,186,404,186,2026-02-10 19:49:57.908742
187,187,868,187,2026-02-10 19:49:57.908742
188,188,496,188,2026-02-10 19:49:57.908742
189,189,350,189,2026-02-10 19:49:57.908742
190,190,409,190,2026-02-10 19:49:57.908742
191,191,459,191,2026-02-10 19:49:57.908742
192,192,683,192,2026-02-10 19:49:57.908742
193,193,726,193,2026-02-10 19:49:57.908742
194,194,358,194,2026-02-10 19:49:57.908742
195,195,319,195,2026-02-10 19:49:57.908742
196,196,813,196,2026-02-10 19:49:57.908742
197,197,148,197,2026-02-10 19:49:57.908742
198,198,438,198,2026-02-10 19:49:57.908742
199,199,338,199,2026-02-10 19:49:57.908742
200,200,127,200,2026-02-10 19:49:57.908742
201,201,854,201,2026-02-10 19:49:57.908742
202,202,896,202,2026-02-10 19:49:57.908742
203,203,259,203,2026-02-10 19:49:57.908742
204,204,866,204,2026-02-10 19:49:57.908742
205,205,330,205,2026-02-10 19:49:57.908742
206,206,294,206,2026-02-10 19:49:57.908742
207,207,740,207,2026-02-10 19:49:57.908742
208,208,530,208,2026-02-10 19:49:57.908742
209,209,816,209,2026-02-10 19:49:57.908742
210,210,930,210,2026-02-10 19:49:57.908742
211,211,202,211,2026-02-10 19:49:57.908742
212,212,798,212,2026-02-10 19:49:57.908742
213,213,711,213,2026-02-10 19:49:57.908742
214,214,135,214,2026-02-10 19:49:57.908742
215,215,590,215,2026-02-10 19:49:57.908742
216,216,202,216,2026-02-10 19:49:57.908742
217,217,463,217,2026-02-10 19:49:57.908742
218,218,756,218,2026-02-10 19:49:57.908742
219,219,654,219,2026-02-10 19:49:57.908742
220,220,395,220,2026-02-10 19:49:57.908742
221,221,383,221,2026-02-10 19:49:57.908742
222,222,374,222,2026-02-10 19:49:57.908742
223,223,395,223,2026-02-10 19:49:57.908742
224,224,194,224,2026-02-10 19:49:57.908742
225,225,103,225,2026-02-10 19:49:57.908742
226,226,514,226,2026-02-10 19:49:57.908742
227,227,565,227,2026-02-10 19:49:57.908742
228,228,729,228,2026-02-10 19:49:57.908742
229,229,375,229,2026-02-10 19:49:57.908742
230,230,208,230,2026-02-10 19:49:57.908742
231,231,450,231,2026-02-10 19:49:57.908742
232,232,332,232,2026-02-10 19:49:57.908742
233,233,631,233,2026-02-10 19:49:57.908742
234,234,341,234,2026-02-10 19:49:57.908742
235,235,991,235,2026-02-10 19:49:57.908742
236,236,236,236,2026-02-10 19:49:57.908742
237,237,608,237,2026-02-10 19:49:57.908742
238,238,737,238,2026-02-10 19:49:57.908742
239,239,423,239,2026-02-10 19:49:57.908742
240,240,766,240,2026-02-10 19:49:57.908742
241,241,559,241,2026-02-10 19:49:57.908742
242,242,503,242,2026-02-10 19:49:57.908742
243,243,162,243,2026-02-10 19:49:57.908742
244,244,667,244,2026-02-10 19:49:57.908742
245,245,207,245,2026-02-10 19:49:57.908742
246,246,189,246,2026-02-10 19:49:57.908742
247,247,629,247,2026-02-10 19:49:57.908742
248,248,602,248,2026-02-10 19:49:57.908742
249,249,336,249,2026-02-10 19:49:57.908742
250,250,394,250,2026-02-10 19:49:57.908742
251,251,755,251,2026-02-10 19:49:57.908742
252,252,224,252,2026-02-10 19:49:57.908742
253,253,688,253,2026-02-10 19:49:57.908742
254,254,209,254,2026-02-10 19:49:57.908742
255,255,229,255,2026-02-10 19:49:57.908742
256,256,811,256,2026-02-10 19:49:57.908742
257,257,184,257,2026-02-10 19:49:57.908742
258,258,154,258,2026-02-10 19:49:57.908742
259,259,407,259,2026-02-10 19:49:57.908742
260,260,531,260,2026-02-10 19:49:57.908742
261,261,859,261,2026-02-10 19:49:57.908742
262,262,742,262,2026-02-10 19:49:57.908742
263,263,310,263,2026-02-10 19:49:57.908742
264,264,754,264,2026-02-10 19:49:57.908742
265,265,773,265,2026-02-10 19:49:57.908742
266,266,835,266,2026-02-10 19:49:57.908742
267,267,520,267,2026-02-10 19:49:57.908742
268,268,244,268,2026-02-10 19:49:57.908742
269,269,675,269,2026-02-10 19:49:57.908742
270,270,740,270,2026-02-10 19:49:57.908742
271,271,270,271,2026-02-10 19:49:57.908742
272,272,523,272,2026-02-10 19:49:57.908742
273,273,425,273,2026-02-10 19:49:57.908742
274,274,771,274,2026-02-10 19:49:57.908742
275,275,530,275,2026-02-10 19:49:57.908742
276,276,631,276,2026-02-10 19:49:57.908742
277,277,976,277,2026-02-10 19:49:57.908742
278,278,899,278,2026-02-10 19:49:57.908742
279,279,389,279,2026-02-10 19:49:57.908742
280,280,674,280,2026-02-10 19:49:57.908742
281,281,978,281,2026-02-10 19:49:57.908742
282,282,594,282,2026-02-10 19:49:57.908742
283,283,962,283,2026-02-10 19:49:57.908742
284,284,422,284,2026-02-10 19:49:57.908742
285,285,900,285,2026-02-10 19:49:57.908742
286,286,841,286,2026-02-10 19:49:57.908742
287,287,702,287,2026-02-10 19:49:57.908742
288,288,813,288,2026-02-10 19:49:57.908742
289,289,108,289,2026-02-10 19:49:57.908742
290,290,480,290,2026-02-10 19:49:57.908742
291,291,273,291,2026-02-10 19:49:57.908742
292,292,234,292,2026-02-10 19:49:57.908742
293,293,880,293,2026-02-10 19:49:57.908742
294,294,376,294,2026-02-10 19:49:57.908742
295,295,883,295,2026-02-10 19:49:57.908742
296,296,525,296,2026-02-10 19:49:57.908742
297,297,136,297,2026-02-10 19:49:57.908742
298,298,617,298,2026-02-10 19:49:57.908742
299,299,974,299,2026-02-10 19:49:57.908742
300,300,623,300,2026-02-10 19:49:57.908742
301,301,271,301,2026-02-10 19:49:57.908742
302,302,590,302,2026-02-10 19:49:57.908742
303,303,204,303,2026-02-10 19:49:57.908742
304,304,845,304,2026-02-10 19:49:57.908742
305,305,484,305,2026-02-10 19:49:57.908742
306,306,742,306,2026-02-10 19:49:57.908742
307,307,602,307,2026-02-10 19:49:57.908742
308,308,711,308,2026-02-10 19:49:57.908742
309,309,412,309,2026-02-10 19:49:57.908742
310,310,363,310,2026-02-10 19:49:57.908742
311,311,834,311,2026-02-10 19:49:57.908742
312,312,321,312,2026-02-10 19:49:57.908742
313,313,591,313,2026-02-10 19:49:57.908742
314,314,573,314,2026-02-10 19:49:57.908742
315,315,647,315,2026-02-10 19:49:57.908742
316,316,766,316,2026-02-10 19:49:57.908742
317,317,919,317,2026-02-10 19:49:57.908742
318,318,531,318,2026-02-10 19:49:57.908742
319,319,295,319,2026-02-10 19:49:57.908742
320,320,846,320,2026-02-10 19:49:57.908742
321,321,633,321,2026-02-10 19:49:57.908742
322,322,383,322,2026-02-10 19:49:57.908742
323,323,801,323,2026-02-10 19:49:57.908742
324,324,417,324,2026-02-10 19:49:57.908742
325,325,568,325,2026-02-10 19:49:57.908742
326,326,807,326,2026-02-10 19:49:57.908742
327,327,968,327,2026-02-10 19:49:57.908742
328,328,178,328,2026-02-10 19:49:57.908742
329,329,366,329,2026-02-10 19:49:57.908742
330,330,156,330,2026-02-10 19:49:57.908742
331,331,765,331,2026-02-10 19:49:57.908742
332,332,894,332,2026-02-10 19:49:57.908742
333,333,213,333,2026-02-10 19:49:57.908742
334,334,978,334,2026-02-10 19:49:57.908742
335,335,864,335,2026-02-10 19:49:57.908742
336,336,469,336,2026-02-10 19:49:57.908742
337,337,255,337,2026-02-10 19:49:57.908742
338,338,596,338,2026-02-10 19:49:57.908742
339,339,756,339,2026-02-10 19:49:57.908742
340,340,313,340,2026-02-10 19:49:57.908742
341,341,771,341,2026-02-10 19:49:57.908742
342,342,959,342,2026-02-10 19:49:57.908742
343,343,312,343,2026-02-10 19:49:57.908742
344,344,648,344,2026-02-10 19:49:57.908742
345,345,848,345,2026-02-10 19:49:57.908742
346,346,569,346,2026-02-10 19:49:57.908742
347,347,804,347,2026-02-10 19:49:57.908742
348,348,390,348,2026-02-10 19:49:57.908742
349,349,195,349,2026-02-10 19:49:57.908742
350,350,791,350,2026-02-10 19:49:57.908742
351,351,521,351,2026-02-10 19:49:57.908742
352,352,903,352,2026-02-10 19:49:57.908742
353,353,716,353,2026-02-10 19:49:57.908742
354,354,277,354,2026-02-10 19:49:57.908742
355,355,895,355,2026-02-10 19:49:57.908742
356,356,509,356,2026-02-10 19:49:57.908742
357,357,210,357,2026-02-10 19:49:57.908742
358,358,314,358,2026-02-10 19:49:57.908742
359,359,699,359,2026-02-10 19:49:57.908742
360,360,302,360,2026-02-10 19:49:57.908742
361,361,745,361,2026-02-10 19:49:57.908742
362,362,649,362,2026-02-10 19:49:57.908742
363,363,564,363,2026-02-10 19:49:57.908742
364,364,388,364,2026-02-10 19:49:57.908742
365,365,986,365,2026-02-10 19:49:57.908742
366,366,702,366,2026-02-10 19:49:57.908742
367,367,971,367,2026-02-10 19:49:57.908742
368,368,395,368,2026-02-10 19:49:57.908742
369,369,204,369,2026-02-10 19:49:57.908742
370,370,680,370,2026-02-10 19:49:57.908742
371,371,482,371,2026-02-10 19:49:57.908742
372,372,855,372,2026-02-10 19:49:57.908742
373,373,209,373,2026-02-10 19:49:57.908742
374,374,495,374,2026-02-10 19:49:57.908742
375,375,925,375,2026-02-10 19:49:57.908742
376,376,370,376,2026-02-10 19:49:57.908742
377,377,364,377,2026-02-10 19:49:57.908742
378,378,479,378,2026-02-10 19:49:57.908742
379,379,689,379,2026-02-10 19:49:57.908742
380,380,953,380,2026-02-10 19:49:57.908742
381,381,347,381,2026-02-10 19:49:57.908742
382,382,297,382,2026-02-10 19:49:57.908742
383,383,861,383,2026-02-10 19:49:57.908742
384,384,943,384,2026-02-10 19:49:57.908742
385,385,891,385,2026-02-10 19:49:57.908742
386,386,130,386,2026-02-10 19:49:57.908742
387,387,807,387,2026-02-10 19:49:57.908742
388,388,639,388,2026-02-10 19:49:57.908742
389,389,323,389,2026-02-10 19:49:57.908742
390,390,219,390,2026-02-10 19:49:57.908742
391,391,759,391,2026-02-10 19:49:57.908742
392,392,506,392,2026-02-10 19:49:57.908742
393,393,306,393,2026-02-10 19:49:57.908742
394,394,586,394,2026-02-10 19:49:57.908742
395,395,581,395,2026-02-10 19:49:57.908742
396,396,826,396,2026-02-10 19:49:57.908742
397,397,980,397,2026-02-10 19:49:57.908742
398,398,460,398,2026-02-10 19:49:57.908742
399,399,459,399,2026-02-10 19:49:57.908742
400,400,780,400,2026-02-10 19:49:57.908742
401,401,952,401,2026-02-10 19:49:57.908742
402,402,902,402,2026-02-10 19:49:57.908742
403,403,630,403,2026-02-10 19:49:57.908742
404,404,617,404,2026-02-10 19:49:57.908742
405,405,231,405,2026-02-10 19:49:57.908742
406,406,697,406,2026-02-10 19:49:57.908742
407,407,128,407,2026-02-10 19:49:57.908742
408,408,550,408,2026-02-10 19:49:57.908742
409,409,858,409,2026-02-10 19:49:57.908742
410,410,787,410,2026-02-10 19:49:57.908742
411,411,870,411,2026-02-10 19:49:57.908742
412,412,346,412,2026-02-10 19:49:57.908742
413,413,544,413,2026-02-10 19:49:57.908742
414,414,748,414,2026-02-10 19:49:57.908742
415,415,177,415,2026-02-10 19:49:57.908742
416,416,200,416,2026-02-10 19:49:57.908742
417,417,790,417,2026-02-10 19:49:57.908742
418,418,461,418,2026-02-10 19:49:57.908742
419,419,683,419,2026-02-10 19:49:57.908742
420,420,223,420,2026-02-10 19:49:57.908742
421,421,233,421,2026-02-10 19:49:57.908742
422,422,523,422,2026-02-10 19:49:57.908742
423,423,197,423,2026-02-10 19:49:57.908742
424,424,609,424,2026-02-10 19:49:57.908742
425,425,346,425,2026-02-10 19:49:57.908742
426,426,917,426,2026-02-10 19:49:57.908742
427,427,783,427,2026-02-10 19:49:57.908742
428,428,523,428,2026-02-10 19:49:57.908742
429,429,257,429,2026-02-10 19:49:57.908742
430,430,633,430,2026-02-10 19:49:57.908742
431,431,785,431,2026-02-10 19:49:57.908742
432,432,286,432,2026-02-10 19:49:57.908742
433,433,657,433,2026-02-10 19:49:57.908742
434,434,286,434,2026-02-10 19:49:57.908742
435,435,198,435,2026-02-10 19:49:57.908742
436,436,455,436,2026-02-10 19:49:57.908742
437,437,931,437,2026-02-10 19:49:57.908742
438,438,219,438,2026-02-10 19:49:57.908742
439,439,174,439,2026-02-10 19:49:57.908742
440,440,142,440,2026-02-10 19:49:57.908742
441,441,569,441,2026-02-10 19:49:57.908742
442,442,863,442,2026-02-10 19:49:57.908742
443,443,814,443,2026-02-10 19:49:57.908742
444,444,791,444,2026-02-10 19:49:57.908742
445,445,168,445,2026-02-10 19:49:57.908742
446,446,825,446,2026-02-10 19:49:57.908742
447,447,372,447,2026-02-10 19:49:57.908742
448,448,413,448,2026-02-10 19:49:57.908742
449,449,767,449,2026-02-10 19:49:57.908742
450,450,836,450,2026-02-10 19:49:57.908742
451,451,607,451,2026-02-10 19:49:57.908742
452,452,819,452,2026-02-10 19:49:57.908742
453,453,325,453,2026-02-10 19:49:57.908742
454,454,969,454,2026-02-10 19:49:57.908742
455,455,155,455,2026-02-10 19:49:57.908742
456,456,707,456,2026-02-10 19:49:57.908742
457,457,548,457,2026-02-10 19:49:57.908742
458,458,587,458,2026-02-10 19:49:57.908742
459,459,790,459,2026-02-10 19:49:57.908742
460,460,949,460,2026-02-10 19:49:57.908742
461,461,791,461,2026-02-10 19:49:57.908742
462,462,434,462,2026-02-10 19:49:57.908742
463,463,186,463,2026-02-10 19:49:57.908742
464,464,777,464,2026-02-10 19:49:57.908742
465,465,717,465,2026-02-10 19:49:57.908742
466,466,101,466,2026-02-10 19:49:57.908742
467,467,123,467,2026-02-10 19:49:57.908742
468,468,185,468,2026-02-10 19:49:57.908742
469,469,538,469,2026-02-10 19:49:57.908742
470,470,660,470,2026-02-10 19:49:57.908742
471,471,780,471,2026-02-10 19:49:57.908742
472,472,624,472,2026-02-10 19:49:57.908742
473,473,585,473,2026-02-10 19:49:57.908742
474,474,404,474,2026-02-10 19:49:57.908742
475,475,184,475,2026-02-10 19:49:57.908742
476,476,914,476,2026-02-10 19:49:57.908742
477,477,847,477,2026-02-10 19:49:57.908742
478,478,724,478,2026-02-10 19:49:57.908742
479,479,441,479,2026-02-10 19:49:57.908742
480,480,517,480,2026-02-10 19:49:57.908742
481,481,294,481,2026-02-10 19:49:57.908742
482,482,622,482,2026-02-10 19:49:57.908742
483,483,528,483,2026-02-10 19:49:57.908742
484,484,404,484,2026-02-10 19:49:57.908742
485,485,471,485,2026-02-10 19:49:57.908742
486,486,944,486,2026-02-10 19:49:57.908742
487,487,856,487,2026-02-10 19:49:57.908742
488,488,554,488,2026-02-10 19:49:57.908742
489,489,957,489,2026-02-10 19:49:57.908742
490,490,195,490,2026-02-10 19:49:57.908742
491,491,970,491,2026-02-10 19:49:57.908742
492,492,286,492,2026-02-10 19:49:57.908742
493,493,176,493,2026-02-10 19:49:57.908742
494,494,355,494,2026-02-10 19:49:57.908742
495,495,593,495,2026-02-10 19:49:57.908742
496,496,989,496,2026-02-10 19:49:57.908742
497,497,342,497,2026-02-10 19:49:57.908742
498,498,896,498,2026-02-10 19:49:57.908742
499,499,686,499,2026-02-10 19:49:57.908742
500,500,699,500,2026-02-10 19:49:57.908742
